date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:43:34	22/22	---MC-	200	added ('OK')	text/plain	date:Thu,%2022%20Jul%202021%2019:13:33%20GMT	https://csr.live/robots.txt		(from )
00:43:35	17111/17111	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:13:34%20GMT	https://csr.live/	%1d/csrlive/csr.live/index.html	(from )
00:43:36	15086/15086	---MC-	200	added ('OK')	image/x-icon	date:Thu,%2022%20Jul%202021%2019:13:35%20GMT	https://csr.live/images/favicon.ico?20200226	%1d/csrlive/csr.live/images/faviconfeac.ico	(from https://csr.live/)
00:43:37	3430/3430	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:36%20GMT	https://csr.live/images/apple-touch-icon-57x57.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-57x57feac.png	(from https://csr.live/)
00:43:38	3785/3785	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:37%20GMT	https://csr.live/images/apple-touch-icon-60x60.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-60x60feac.png	(from https://csr.live/)
00:43:39	4374/4374	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:38%20GMT	https://csr.live/images/apple-touch-icon-72x72.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-72x72feac.png	(from https://csr.live/)
00:43:40	4650/4650	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:39%20GMT	https://csr.live/images/apple-touch-icon-76x76.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-76x76feac.png	(from https://csr.live/)
00:43:41	8212/8212	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:40%20GMT	https://csr.live/images/apple-touch-icon-114x114.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-114x114feac.png	(from https://csr.live/)
00:43:42	8461/8461	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:41%20GMT	https://csr.live/images/apple-touch-icon-120x120.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-120x120feac.png	(from https://csr.live/)
00:43:43	8926/8926	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:42%20GMT	https://csr.live/images/apple-touch-icon-144x144.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-144x144feac.png	(from https://csr.live/)
00:43:44	10041/10041	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:43%20GMT	https://csr.live/images/apple-touch-icon-152x152.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-152x152feac.png	(from https://csr.live/)
00:43:45	13488/13488	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:44%20GMT	https://csr.live/images/apple-touch-icon-180x180.png?20200226	%1d/csrlive/csr.live/images/apple-touch-icon-180x180feac.png	(from https://csr.live/)
00:43:46	1497/1497	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:45%20GMT	https://csr.live/images/favicon-16x16.png?20200226	%1d/csrlive/csr.live/images/favicon-16x16feac.png	(from https://csr.live/)
00:43:47	1869/1869	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:46%20GMT	https://csr.live/images/favicon-32x32.png?20200226	%1d/csrlive/csr.live/images/favicon-32x32feac.png	(from https://csr.live/)
00:43:48	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:13:48%20GMT	https://csr.live/images/favicon-96x96.png?20200226	%1d/csrlive/csr.live/images/favicon-96x96.cfeac.delayed	(from https://csr.live/)
00:43:48	14360/14360	---MC-	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2019:13:48%20GMT	https://csr.live/images/android-chrome-192x192.png?20200226	%1d/csrlive/csr.live/images/android-chrome-192x192feac.png	(from https://csr.live/)
00:43:49	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:13:49%20GMT	https://csr.live/images/smalltile.png?20200226	%1d/csrlive/csr.live/images/smalltile.efeac.delayed	(from https://csr.live/)
00:43:51	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:13:51%20GMT	https://csr.live/images/mediumtile.png?20200226	%1d/csrlive/csr.live/images/mediumtile.ffeac.delayed	(from https://csr.live/)
00:43:52	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:13:51%20GMT	https://csr.live/images/widetile.png?20200226	%1d/csrlive/csr.live/images/widetile.10feac.delayed	(from https://csr.live/)
